,system:time_start,PLOT_ID,nlcd,Variable
54,2021-06-24,ABBY_067,evergreenForest,LAI
54,2021-06-24,ABBY_067,evergreenForest,fAPAR
1,2016-09-07,ABBY_069,grasslandHerbaceous,LAI
1,2016-09-07,ABBY_069,grasslandHerbaceous,fCOVER
1,2016-09-07,ABBY_069,grasslandHerbaceous,fAPAR
98,2022-05-18,BART_047,deciduousForest,LAI
99,2022-05-30,BART_047,deciduousForest,LAI
98,2022-05-18,BART_047,deciduousForest,fCOVER
99,2022-05-30,BART_047,deciduousForest,fCOVER
98,2022-05-18,BART_047,deciduousForest,fAPAR
99,2022-05-30,BART_047,deciduousForest,fAPAR
48,2018-07-05,BLAN_034,cultivatedCrops,LAI
78,2020-08-10,BLAN_034,cultivatedCrops,LAI
47,2018-07-05,BLAN_034,cultivatedCrops,fCOVER
66,2019-08-14,BLAN_034,cultivatedCrops,fCOVER
74,2020-06-30,BLAN_034,cultivatedCrops,fCOVER
75,2020-07-15,BLAN_034,cultivatedCrops,fCOVER
97,2021-09-27,BLAN_034,cultivatedCrops,fCOVER
107,2022-06-20,BLAN_034,cultivatedCrops,fCOVER
48,2018-07-05,BLAN_034,cultivatedCrops,fAPAR
62,2019-06-05,BLAN_034,cultivatedCrops,fAPAR
67,2019-08-14,BLAN_034,cultivatedCrops,fAPAR
75,2020-06-30,BLAN_034,cultivatedCrops,fAPAR
76,2020-07-15,BLAN_034,cultivatedCrops,fAPAR
98,2021-09-27,BLAN_034,cultivatedCrops,fAPAR
108,2022-06-20,BLAN_034,cultivatedCrops,fAPAR
19,2021-07-26,BONA_070,evergreenForest,fCOVER
19,2021-07-26,BONA_070,evergreenForest,fAPAR
3,2017-07-28,BONA_082,deciduousForest,LAI
3,2017-07-28,BONA_082,deciduousForest,fCOVER
3,2017-07-28,BONA_082,deciduousForest,fAPAR
10,2018-07-02,BONA_089,deciduousForest,fCOVER
10,2018-07-02,BONA_089,deciduousForest,fAPAR
3,2016-06-21,CLBJ_001,deciduousForest,fCOVER
14,2017-03-09,CLBJ_001,deciduousForest,fCOVER
15,2017-03-22,CLBJ_001,deciduousForest,fCOVER
22,2017-06-29,CLBJ_001,deciduousForest,fCOVER
23,2017-07-13,CLBJ_001,deciduousForest,fCOVER
40,2018-06-07,CLBJ_001,deciduousForest,fCOVER
54,2019-04-11,CLBJ_001,deciduousForest,fCOVER
55,2019-04-26,CLBJ_001,deciduousForest,fCOVER
86,2022-03-10,CLBJ_001,deciduousForest,fCOVER
3,2016-06-21,CLBJ_001,deciduousForest,fAPAR
14,2017-03-09,CLBJ_001,deciduousForest,fAPAR
15,2017-03-22,CLBJ_001,deciduousForest,fAPAR
22,2017-06-29,CLBJ_001,deciduousForest,fAPAR
23,2017-07-13,CLBJ_001,deciduousForest,fAPAR
40,2018-06-07,CLBJ_001,deciduousForest,fAPAR
86,2022-03-10,CLBJ_001,deciduousForest,fAPAR
99,2022-10-20,CLBJ_001,deciduousForest,fAPAR
10,2016-09-27,CLBJ_002,deciduousForest,LAI
10,2016-09-27,CLBJ_002,deciduousForest,fCOVER
10,2016-09-27,CLBJ_002,deciduousForest,fAPAR
11,2016-10-11,CLBJ_003,deciduousForest,fCOVER
11,2016-10-11,CLBJ_003,deciduousForest,fAPAR
24,2022-10-20,CLBJ_029,deciduousForest,fCOVER
24,2022-10-20,CLBJ_029,deciduousForest,fAPAR
11,2017-08-17,DEJU_052,evergreenForest,fCOVER
8,2017-07-06,DEJU_056,evergreenForest,fAPAR
11,2017-08-17,DEJU_061,evergreenForest,fCOVER
28,2015-09-08,DSNY_053,pastureHay,fCOVER
37,2016-05-02,DSNY_061,pastureHay,fAPAR
17,2015-04-08,DSNY_066,pastureHay,fCOVER
18,2015-04-21,DSNY_066,pastureHay,fCOVER
5,2015-10-22,GUAN_054,evergreenForest,fCOVER
11,2016-02-16,GUAN_054,evergreenForest,fCOVER
46,2017-07-25,GUAN_054,evergreenForest,fCOVER
89,2019-04-15,GUAN_054,evergreenForest,fCOVER
4,2015-10-22,GUAN_055,evergreenForest,fCOVER
5,2015-11-05,GUAN_055,evergreenForest,fCOVER
6,2015-11-18,GUAN_055,evergreenForest,fCOVER
97,2021-07-07,HARV_050,mixedForest,LAI
97,2021-07-07,HARV_050,mixedForest,fCOVER
97,2021-07-07,HARV_050,mixedForest,fAPAR
14,2016-10-12,JERC_062,evergreenForest,fAPAR
15,2018-06-19,KONA_071,cultivatedCrops,fCOVER
16,2018-07-03,KONA_071,cultivatedCrops,fCOVER
56,2022-07-08,KONA_071,cultivatedCrops,fCOVER
15,2018-06-19,KONA_071,cultivatedCrops,fAPAR
16,2018-07-03,KONA_071,cultivatedCrops,fAPAR
79,2022-06-21,KONZ_050,grasslandHerbaceous,fCOVER
79,2022-06-21,KONZ_050,grasslandHerbaceous,fAPAR
94,2022-06-21,KONZ_051,grasslandHerbaceous,fCOVER
94,2022-06-21,KONZ_051,grasslandHerbaceous,fAPAR
2,2016-05-13,LAJA_047,pastureHay,LAI
10,2016-09-02,LAJA_047,pastureHay,LAI
11,2016-09-16,LAJA_047,pastureHay,LAI
96,2020-08-06,LAJA_047,pastureHay,LAI
2,2016-05-13,LAJA_047,pastureHay,fCOVER
10,2016-09-02,LAJA_047,pastureHay,fCOVER
11,2016-09-16,LAJA_047,pastureHay,fCOVER
24,2017-04-07,LAJA_047,pastureHay,fCOVER
36,2017-11-02,LAJA_047,pastureHay,fCOVER
37,2017-11-16,LAJA_047,pastureHay,fCOVER
39,2017-12-14,LAJA_047,pastureHay,fCOVER
41,2018-01-11,LAJA_047,pastureHay,fCOVER
44,2018-02-22,LAJA_047,pastureHay,fCOVER
45,2018-03-08,LAJA_047,pastureHay,fCOVER
59,2018-09-20,LAJA_047,pastureHay,fCOVER
62,2018-11-01,LAJA_047,pastureHay,fCOVER
67,2019-01-10,LAJA_047,pastureHay,fCOVER
77,2019-05-30,LAJA_047,pastureHay,fCOVER
100,2020-10-01,LAJA_047,pastureHay,fCOVER
115,2021-04-29,LAJA_047,pastureHay,fCOVER
121,2021-08-23,LAJA_047,pastureHay,fCOVER
143,2022-07-28,LAJA_047,pastureHay,fCOVER
2,2016-05-13,LAJA_047,pastureHay,fAPAR
10,2016-09-02,LAJA_047,pastureHay,fAPAR
11,2016-09-16,LAJA_047,pastureHay,fAPAR
36,2017-11-02,LAJA_047,pastureHay,fAPAR
37,2017-11-16,LAJA_047,pastureHay,fAPAR
41,2018-01-11,LAJA_047,pastureHay,fAPAR
44,2018-02-22,LAJA_047,pastureHay,fAPAR
45,2018-03-08,LAJA_047,pastureHay,fAPAR
59,2018-09-20,LAJA_047,pastureHay,fAPAR
62,2018-11-01,LAJA_047,pastureHay,fAPAR
67,2019-01-10,LAJA_047,pastureHay,fAPAR
77,2019-05-30,LAJA_047,pastureHay,fAPAR
100,2020-10-01,LAJA_047,pastureHay,fAPAR
101,2020-10-14,LAJA_047,pastureHay,fAPAR
102,2020-10-29,LAJA_047,pastureHay,fAPAR
103,2020-11-12,LAJA_047,pastureHay,fAPAR
115,2021-04-29,LAJA_047,pastureHay,fAPAR
121,2021-08-23,LAJA_047,pastureHay,fAPAR
143,2022-07-28,LAJA_047,pastureHay,fAPAR
11,2016-09-16,LAJA_054,pastureHay,LAI
36,2017-11-02,LAJA_054,pastureHay,LAI
96,2020-08-06,LAJA_054,pastureHay,LAI
100,2020-10-01,LAJA_054,pastureHay,LAI
11,2016-09-16,LAJA_054,pastureHay,fCOVER
15,2016-11-11,LAJA_054,pastureHay,fCOVER
33,2017-08-10,LAJA_054,pastureHay,fCOVER
36,2017-11-02,LAJA_054,pastureHay,fCOVER
37,2017-11-16,LAJA_054,pastureHay,fCOVER
39,2017-12-14,LAJA_054,pastureHay,fCOVER
41,2018-01-11,LAJA_054,pastureHay,fCOVER
62,2018-11-01,LAJA_054,pastureHay,fCOVER
77,2019-05-30,LAJA_054,pastureHay,fCOVER
100,2020-10-01,LAJA_054,pastureHay,fCOVER
104,2020-11-25,LAJA_054,pastureHay,fCOVER
133,2022-03-23,LAJA_054,pastureHay,fCOVER
142,2022-07-28,LAJA_054,pastureHay,fCOVER
11,2016-09-16,LAJA_054,pastureHay,fAPAR
15,2016-11-11,LAJA_054,pastureHay,fAPAR
33,2017-08-10,LAJA_054,pastureHay,fAPAR
36,2017-11-02,LAJA_054,pastureHay,fAPAR
37,2017-11-16,LAJA_054,pastureHay,fAPAR
41,2018-01-11,LAJA_054,pastureHay,fAPAR
77,2019-05-30,LAJA_054,pastureHay,fAPAR
100,2020-10-01,LAJA_054,pastureHay,fAPAR
101,2020-10-14,LAJA_054,pastureHay,fAPAR
102,2020-10-29,LAJA_054,pastureHay,fAPAR
103,2020-11-12,LAJA_054,pastureHay,fAPAR
104,2020-11-25,LAJA_054,pastureHay,fAPAR
142,2022-07-28,LAJA_054,pastureHay,fAPAR
10,2016-09-02,LAJA_065,pastureHay,LAI
11,2016-09-16,LAJA_065,pastureHay,LAI
12,2016-09-30,LAJA_065,pastureHay,LAI
57,2018-08-23,LAJA_065,pastureHay,LAI
58,2018-09-05,LAJA_065,pastureHay,LAI
59,2018-09-20,LAJA_065,pastureHay,LAI
96,2020-08-06,LAJA_065,pastureHay,LAI
103,2020-11-12,LAJA_065,pastureHay,LAI
4,2016-06-10,LAJA_065,pastureHay,fCOVER
11,2016-09-16,LAJA_065,pastureHay,fCOVER
12,2016-09-30,LAJA_065,pastureHay,fCOVER
16,2016-11-23,LAJA_065,pastureHay,fCOVER
19,2017-01-27,LAJA_065,pastureHay,fCOVER
21,2017-02-24,LAJA_065,pastureHay,fCOVER
24,2017-04-07,LAJA_065,pastureHay,fCOVER
37,2017-11-16,LAJA_065,pastureHay,fCOVER
57,2018-08-23,LAJA_065,pastureHay,fCOVER
58,2018-09-05,LAJA_065,pastureHay,fCOVER
59,2018-09-20,LAJA_065,pastureHay,fCOVER
62,2018-11-01,LAJA_065,pastureHay,fCOVER
77,2019-05-30,LAJA_065,pastureHay,fCOVER
101,2020-10-14,LAJA_065,pastureHay,fCOVER
102,2020-10-29,LAJA_065,pastureHay,fCOVER
103,2020-11-12,LAJA_065,pastureHay,fCOVER
104,2020-11-25,LAJA_065,pastureHay,fCOVER
122,2021-09-02,LAJA_065,pastureHay,fCOVER
130,2022-01-26,LAJA_065,pastureHay,fCOVER
143,2022-07-28,LAJA_065,pastureHay,fCOVER
150,2022-12-14,LAJA_065,pastureHay,fCOVER
4,2016-06-10,LAJA_065,pastureHay,fAPAR
11,2016-09-16,LAJA_065,pastureHay,fAPAR
12,2016-09-30,LAJA_065,pastureHay,fAPAR
16,2016-11-23,LAJA_065,pastureHay,fAPAR
24,2017-04-07,LAJA_065,pastureHay,fAPAR
57,2018-08-23,LAJA_065,pastureHay,fAPAR
58,2018-09-05,LAJA_065,pastureHay,fAPAR
59,2018-09-20,LAJA_065,pastureHay,fAPAR
77,2019-05-30,LAJA_065,pastureHay,fAPAR
101,2020-10-14,LAJA_065,pastureHay,fAPAR
102,2020-10-29,LAJA_065,pastureHay,fAPAR
103,2020-11-12,LAJA_065,pastureHay,fAPAR
104,2020-11-25,LAJA_065,pastureHay,fAPAR
122,2021-09-02,LAJA_065,pastureHay,fAPAR
143,2022-07-28,LAJA_065,pastureHay,fAPAR
69,2021-07-15,LENO_063,deciduousForest,LAI
69,2021-07-15,LENO_063,deciduousForest,fCOVER
69,2021-07-15,LENO_063,deciduousForest,fAPAR
51,2019-05-07,LENO_064,deciduousForest,LAI
51,2019-05-07,LENO_064,deciduousForest,fCOVER
51,2019-05-07,LENO_064,deciduousForest,fAPAR
11,2016-11-09,LENO_067,woodyWetlands,LAI
41,2018-08-15,LENO_067,woodyWetlands,LAI
11,2016-11-09,LENO_067,woodyWetlands,fCOVER
41,2018-08-15,LENO_067,woodyWetlands,fCOVER
11,2016-11-09,LENO_067,woodyWetlands,fAPAR
41,2018-08-15,LENO_067,woodyWetlands,fAPAR
57,2022-06-28,MLBS_071,deciduousForest,LAI
57,2022-06-28,MLBS_071,deciduousForest,fCOVER
57,2022-06-28,MLBS_071,deciduousForest,fAPAR
57,2022-06-28,MLBS_074,deciduousForest,LAI
57,2022-06-28,MLBS_074,deciduousForest,fCOVER
57,2022-06-28,MLBS_074,deciduousForest,fAPAR
78,2021-08-23,OAES_044,shrubScrub,fCOVER
78,2021-08-23,OAES_044,shrubScrub,fAPAR
100,2021-10-12,ORNL_045,deciduousForest,LAI
100,2021-10-12,ORNL_045,deciduousForest,fCOVER
100,2021-10-12,ORNL_045,deciduousForest,fAPAR
103,2022-03-31,ORNL_045,deciduousForest,fAPAR
111,2022-03-31,ORNL_050,deciduousForest,fAPAR
102,2022-03-31,ORNL_054,deciduousForest,fAPAR
7,2013-10-28,OSBS_025,evergreenForest,fCOVER
22,2015-08-11,OSBS_025,evergreenForest,fCOVER
27,2015-09-22,OSBS_030,evergreenForest,fCOVER
48,2017-04-11,OSBS_030,evergreenForest,fCOVER
76,2018-08-01,OSBS_030,evergreenForest,fCOVER
76,2018-08-01,OSBS_030,evergreenForest,fAPAR
48,2017-03-28,OSBS_038,evergreenForest,fCOVER
49,2017-04-11,OSBS_038,evergreenForest,fCOVER
31,2019-08-27,PUUM_039,evergreenForest,fCOVER
4,2015-06-29,SERC_053,deciduousForest,LAI
18,2016-06-08,SERC_053,deciduousForest,LAI
55,2018-10-04,SERC_053,deciduousForest,LAI
55,2018-10-04,SERC_053,deciduousForest,fCOVER
55,2018-10-04,SERC_053,deciduousForest,fAPAR
5,2015-06-29,SERC_054,deciduousForest,LAI
9,2015-08-24,SERC_054,deciduousForest,LAI
9,2015-08-24,SERC_054,deciduousForest,fCOVER
9,2015-08-24,SERC_054,deciduousForest,fAPAR
63,2019-10-03,SJER_049,evergreenForest,fCOVER
99,2022-11-10,SJER_049,evergreenForest,fCOVER
63,2019-10-03,SJER_049,evergreenForest,fAPAR
51,2019-02-21,SJER_055,deciduousForest,fCOVER
51,2019-02-21,SJER_055,deciduousForest,fAPAR
34,2018-05-03,SJER_057,evergreenForest,fAPAR
55,2019-04-18,SJER_057,evergreenForest,fAPAR
2,2018-05-08,SOAP_047,evergreenForest,fCOVER
4,2018-06-05,SOAP_047,evergreenForest,fCOVER
12,2018-09-25,SOAP_047,evergreenForest,fCOVER
26,2019-09-24,SOAP_047,evergreenForest,fCOVER
2,2018-05-08,SOAP_047,evergreenForest,fAPAR
4,2018-06-05,SOAP_047,evergreenForest,fAPAR
12,2018-09-25,SOAP_047,evergreenForest,fAPAR
4,2018-06-05,SOAP_054,evergreenForest,fCOVER
4,2018-06-05,SOAP_054,evergreenForest,fAPAR
47,2022-10-18,SOAP_058,evergreenForest,LAI
19,2019-06-20,SOAP_058,evergreenForest,fCOVER
47,2022-10-18,SOAP_058,evergreenForest,fCOVER
19,2019-06-20,SOAP_058,evergreenForest,fAPAR
46,2022-10-18,SOAP_058,evergreenForest,fAPAR
25,2017-06-01,STEI_046,deciduousForest,fAPAR
26,2017-06-15,STEI_046,deciduousForest,fAPAR
26,2017-06-15,STEI_055,deciduousForest,LAI
27,2017-06-28,STEI_055,deciduousForest,LAI
27,2017-06-28,STEI_055,deciduousForest,fCOVER
79,2019-08-07,STER_009,cultivatedCrops,fCOVER
94,2021-06-03,STER_009,cultivatedCrops,fCOVER
28,2015-09-16,STER_009,cultivatedCrops,fAPAR
79,2019-08-07,STER_009,cultivatedCrops,fAPAR
94,2021-06-03,STER_009,cultivatedCrops,fAPAR
3,2014-05-13,STER_014,cultivatedCrops,fCOVER
77,2019-07-10,STER_014,cultivatedCrops,fCOVER
78,2019-07-24,STER_014,cultivatedCrops,fCOVER
79,2019-08-07,STER_014,cultivatedCrops,fCOVER
94,2021-06-03,STER_014,cultivatedCrops,fCOVER
77,2019-07-10,STER_014,cultivatedCrops,fAPAR
78,2019-07-24,STER_014,cultivatedCrops,fAPAR
79,2019-08-07,STER_014,cultivatedCrops,fAPAR
94,2021-06-03,STER_014,cultivatedCrops,fAPAR
107,2021-09-02,TALL_046,evergreenForest,LAI
107,2021-09-02,TALL_046,evergreenForest,fCOVER
107,2021-09-02,TALL_046,evergreenForest,fAPAR
38,2016-08-19,TALL_048,evergreenForest,fCOVER
108,2021-09-02,TALL_049,evergreenForest,fCOVER
108,2021-09-02,TALL_049,evergreenForest,fAPAR
17,2017-07-13,TREE_053,deciduousForest,LAI
17,2017-07-13,TREE_053,deciduousForest,fCOVER
17,2017-07-13,TREE_053,deciduousForest,fAPAR
2,2016-05-31,TREE_055,deciduousForest,LAI
3,2016-06-13,TREE_055,deciduousForest,LAI
2,2016-05-31,TREE_055,deciduousForest,fCOVER
3,2016-06-13,TREE_055,deciduousForest,fCOVER
2,2016-05-31,TREE_055,deciduousForest,fAPAR
3,2016-06-13,TREE_055,deciduousForest,fAPAR
96,2021-09-21,WOOD_064,grasslandHerbaceous,fCOVER
